5161,5161,768,885
5173,5173,718,883
5171,5171,707,937
5169,5169,696,979
5178,5178,673,1042
5176,5176,699,1044
5180,5180,638,1028
5182,5182,604,1020
5175,5175,638,954
5197,5197,626,846
5190,5190,464,977
5188,5188,498,987
5186,5186,533,993
5184,5184,568,1007
5189,5189,480,915
5187,5187,511,927
5183,5183,570,950
5192,5192,581,925
5191,5191,521,895
5193,5193,575,872
3765,3765,1251,101
3763,3763,1263,133
3761,3761,1264,176
3762,3762,1333,196
3726,3726,1217,453
3720,3720,1212,488
3725,3725,1259,473
3805,3805,1292,472
3852,3852,1344,452
3715,3715,1260,502
3708,3708,1284,618
3709,3709,1277,659
3520,3520,1382,800
3525,3525,1406,824
3530,3530,1442,830
3535,3535,1467,836
3540,3540,1492,837
3545,3545,1521,843
3550,3550,1542,844
3555,3555,1566,842
3560,3560,1594,839
3565,3565,1625,837
3570,3570,1645,836
3575,3575,1375,827
3580,3580,1705,828
3585,3585,1736,823
3576,3576,1696,786
3578,3578,1727,744
3510,3510,1496,789
3515,3515,1482,768
3505,3505,1418,731
3685,3685,1742,584
3684,3684,1813,567
3360,3360,1625,414
3640,3640,1743,431
3672,3672,1965,373
3674,3674,1958,345
3676,3676,1959,320
3678,3678,1953,291
3675,3675,1900,294
3673,3673,1905,375
3652,3652,1815,325
3954,3954,1618,157
3956,3956,1645,178
3952,3952,1605,174
3914,3914,1530,330
3912,3912,1509,289
3916,3916,1542,289
3625,3625,1589,337
3855,3855,1424,385
3622,3622,1493,366
3620,3620,1511,425
3835,3835,1442,456
3845,3845,1415,433
3825,3825,1384,480
3821,3821,1382,499
3817,3817,1382,523
3819,3819,1416,528
3823,3823,1412,502
3827,3827,1420,477
3615,3615,1469,506
3605,3605,1529,601
3595,3595,1471,577
3569,3569,1427,577
3598,3598,1434,597
3717,3717,1420,557
2834,2834,344,82
2832,2832,375,74
2830,2830,397,77
2828,2828,424,84
2826,2826,427,109
2824,2824,422,130
2816,2816,423,147
2814,2814,428,166
2806,2806,427,186
2808,2808,376,185
2810,2810,356,184
2812,2812,337,187
2821,2821,339,161
2819,2819,361,163
2817,2817,384,162
2818,2818,382,120
2820,2820,359,118
2822,2822,337,115
2813,2813,339,227
2790,2790,345,251
2788,2788,344,275
2786,2786,344,298
2744,2744,347,322
2772,2772,340,345
2770,2770,341,369
2758,2758,343,394
2759,2759,344,446
2730,2730,346,469
2727,2727,394,515
2725,2725,413,514
2723,2723,430,514
2721,2721,458,513
2719,2719,475,513
2716,2716,496,476
2718,2718,472,471
2722,2722,456,471
2724,2724,435,468
2753,2753,424,468
2726,2726,406,471
2728,2728,385,468
2757,2757,383,441
2755,2755,403,444
2751,2751,424,445
2749,2749,456,443
2747,2747,474,443
2743,2743,495,421
2748,2748,456,399
2752,2752,424,399
2754,2754,406,396
2756,2756,381,396
2794,2794,473,368
2777,2777,404,361
2779,2779,383,364
2781,2781,379,339
2789,2789,379,302
2785,2785,399,300
2791,2791,373,280
2793,2793,376,269
2795,2795,379,252
2811,2811,380,234
2809,2809,405,233
2807,2807,438,229
2796,2796,404,251
2797,2797,430,253
2798,2798,453,254
2799,2799,478,253
2794,2794,467,285
2792,2792,442,287
2881,2881,531,118
2879,2879,527,136
2880,2880,562,138
2876,2876,572,173
2891,2891,595,141
2889,2889,592,161
2887,2887,587,183
2886,2886,642,184
2888,2888,636,159
2782,2782,528,220
2784,2784,568,218
2911,2911,663,161
2909,2909,663,187
2910,2910,705,175
2908,2908,705,193
2921,2921,737,184
2919,2919,732,206
2920,2920,773,197
2918,2918,774,219
2916,2916,770,241
2914,2914,721,258
2912,2912,681,252
2923,2923,679,289
2927,2927,729,290
2945,2945,886,256
2937,2937,870,290
2947,2947,903,291
2955,2955,957,273
2957,2957,927,292
2952,2952,969,323
2954,2954,967,346
2956,2956,968,368
2958,2958,966,389
2974,2974,954,449
2972,2972,970,420
2977,2977,939,528
2987,2987,804,463
2973,2973,897,398
2967,2967,936,364
2608,2608,921,590
2603,2603,837,717
2607,2607,838,609
2582,2582,706,719
2583,2583,661,720
2587,2587,660,689
2588,2588,678,682
2584,2584,708,690
20002,20002,757,616
2568,2568,637,721
2561,2561,569,717
2562,2565,560,686
2564,2564,580,690
2566,2566,631,697
2554,2554,558,638
20003,20003,615,628
2961,2961,803,402
2962,2962,780,401
2963,2963,749,407
2964,2964,724,399
2965,2965,682,408
2768,2768,522,350
2766,2766,545,349
2764,2764,573,349
2762,2762,568,392
2707,2707,512,575
2709,2709,489,578
2711,2711,446,573
2708,2708,452,535
2706,2706,483,536
2731,2731,414,542
2420B,2420B,318,643
2523,2523,381,604
2529,2529,431,602
2519,2519,379,623
2515,2515,375,645
2530,2530,408,639
2532,2532,435,643
2534,2534,461,643
2549,2549,501,606
2545,2545,480,605
2541,2541,457,604
2508,2508,411,668
